name,almaMater,networth
Josh James,Brigham Young University,1.0E8
Joshua Harris (businessman),"['Wharton School of the University of Pennsylvania', 'Harvard Business School']",2.4E9
José Miguel Bonetti,"['Juris Doctor', 'Bachelor of Economics']",1.0E9
Judith Faulkner,"['Dickinson College', 'University of Wisconsin–Madison']",2.6E9
Julian Robertson,University of North Carolina at Chapel Hill,3.4E9
J.B. Pritzker,"['Duke University', 'Northwestern University School of Law']",3.4E9
J. Christopher Burch,Ithaca College,1.0E9
J. Darius Bikoff,Colgate University,3.25E8
J. Michael Pearson,"['Duke University', 'University of Virginia']",1.5E9
Jack C. Taylor,Washington University in St. Louis,8.6E9
Jack Davis (industrialist),University at Buffalo,18.2
Jack Dorsey,"['New York University', 'Missouri University of Science and Technology']",2.3E9
Jack Ma,"['Cheung Kong Graduate School of Business', 'Hangzhou Normal University']",2.36E10
Jack Wrather,University of Texas at Austin,1.5E8
Jacky Xu,"['Nanyang Technological University', 'University of Liverpool', 'Harvard University']",1000000.0
Jacqueline Mars,Bryn Mawr College,2.36E10
Jaime Aristotle Alip,"['University of the Philippines', 'Harvard Business School']",6000000.0
James Dyson,"['Royal College of Art', 'Byam Shaw School of Art']",4.9E9
James E. Thompson,San Jose State University,1.0E9
James Goodnight,North Carolina State University,8.1E9
James Harris Simons,"['Massachusetts Institute of Technology', 'University of California Berkeley', 'Doctor of Philosophy', 'Bachelor of Science']",1.55E10
Kalanithi Maran,University of Scranton,3.5E9
Kelcy Warren,University of Texas at Arlington,1.74E9
Kenneth Fisher,Humboldt State University,2.7E9
Kenneth Langone,"['Bucknell University', 'New York University Stern School of Business']",2.7E9
Keshub Mahindra,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",6.15E8
Kevin Plank,University of Maryland College Park,3.9E9
Kevin Systrom,Stanford University,4.0E8
Kimbal Musk,Queen's University,2.5E9
Kirill Shamalov,Saint Petersburg State University,1.2E9
Kith Meng,Australian National University,6.0E8
Konstantin Kagalovsky,Financial University under the Government of the Russian Federation,1.2E9
Kris Gopalakrishnan,Indian Institutes of Technology,1.35E9
Kumar Mangalam Birla,"['University of Mumbai', 'London Business School', 'Institute of Chartered Accountants of India']",8.3E9
Kushal Pal Singh,Meerut College,2.5E9
Luis Carlos Sarmiento,National University of Colombia,1.25E10
Lukas Walton,Colorado College,11.0
Lady Gaga,New York University,2.75E8
Lakshmi Mittal,"[""St. Xavier's College Kolkata"", 'Bachelor of Commerce']",9.8E9
Larry Ellison,"['University of Chicago', 'University of Illinois at Urbana–Champaign']",4.38E10
Larry Page,"['Stanford University', 'University of Michigan']",3.62E10
Lauren Conrad,Fashion Institute of Design & Merchandising,2.5E7
Laurene Powell Jobs,"['University of Pennsylvania', 'Stanford Graduate School of Business', 'Master of Business Administration', 'Bachelor of Science', 'Bachelor of Arts']",1.67E10
Lee Jae-yong,"['Seoul National University', 'Keio University', 'Harvard Business School']",7.9E9
Lee Kun-hee,"['George Washington University', 'Waseda University']",1.08E10
Lei Jun,Wuhan University,1.35E10
Leon G. Cooperman,"['Columbia University', 'Hunter College']",3.7E9
Leon Levy,City College of New York,1.0E9
Leonard Lauder,"['Columbia University', 'University of Pennsylvania']",9.1E9
Leonard N. Stern,New York University,5.4E9
Leonid Mikhelson,Kuibyshev_Civil_Engineering_Institute,1.56E10
Les Wexner,Ohio State University,7.2E9
Leslie Alexander (businessman),"['Thomas Jefferson School of Law', 'New York University']",1.54E9
Li Zhongchu,Wuhan University,4.0E9
Linda McMahon,East Carolina University,8.55E8
Liu Qiangdong,Renmin University of China,8.9E9
Lorenzo Fertitta,"['University of San Diego', 'New York University Stern School of Business']",1.6E9
Lorenzo Mendoza,"['MIT Sloan School of Management', 'Fordham University']",2.7E9
Louis Bacon,"['Columbia Business School', 'Middlebury College']",1.81E9
Louis V. Gerstner Jr.,"['Dartmouth College', 'Harvard Business School']",6.3E8
Lu Guanqiu,Zhejiang University,6.5E9
Lucio Tan,"['Chiang Kai Shek College', 'Far Eastern University']",4.2E9
Ömer Sabancı,University of Delaware,3.0E9
Ma Huateng,Shenzhen University,1.88E10
Madonna (entertainer),University of Michigan,5.2E8
Malcolm Forbes,"['Princeton University', 'Lawrenceville School']",4.0E8
Manuel Moroun,University of Notre Dame,2.0E9
Marc Andreessen,University of Illinois at Urbana–Champaign,6.0E8
Marc Benioff,University of Southern California,3.8E9
Marcel Herrmann Telles,"['Federal University of Rio de Janeiro', 'Harvard University']",1.28E10
Marcos Galperin,"['Stanford University', 'Wharton School of the University of Pennsylvania']",4.0E8
Matthew K. McCauley,Brigham Young University,8787661.0
Matthew McConaughey,University of Texas at Austin,7.5E7
Maurice Lévy (Publicis),New Jersey City University,1.73E8
Max Levchin,University of Illinois at Urbana–Champaign,300.0
Meg Whitman,"['Princeton University', 'Harvard Business School']",2.1E9
Mehmet Emin Karamehmet,"['Dover College', 'Robert College']",1.15
Mian Muhammad Mansha,University of the Punjab,4.0E9
Michael Ashcroft,Anglia Ruskin University,8.65E8
Michael Dell,University of Texas at Austin,2.01E10
Michael Eisner,Denison University,1.0E9
Michael Klein (businessman),Fundação Getúlio Vargas,1.3E9
Michael Krasny (businessman),University of Illinois at Urbana–Champaign,1.1E9
Michael Moritz,"['Christ Church Oxford', 'Wharton School of the University of Pennsylvania']",3.0E9
Michael Platt (financier),London School of Economics,"['1.5E9', '3.5E9']"
Mike Adenuga,"['Northwestern Oklahoma State University', 'Pace University']",3.2E9
Margarita Louis-Dreyfus,Moscow State University,8.4E9
Mario Gabelli,"['Columbia Business School', 'Fordham University']",1.1E9
Marissa Mayer,Stanford University,3.8E8
Marjorie Yang,"['Massachusetts Institute of Technology', 'Harvard Business School']",1.0E9
Mark Coombs,St John's College Cambridge,1.8E9
Mark Cuban,"['University of Pittsburgh', 'Kelley School of Business']",3.2E9
Mark McDonald (entrepreneur),Monash University,5.8E7
Mark Pincus,"['University of Pennsylvania', 'Harvard University']",1.1E9
Mark Stevens (venture capitalist),"['University of Southern California', 'Harvard University']",1.83E9
Mary Perkins,Cardiff University,1.45E9
María Asunción Aramburuzabala,Instituto Tecnológico Autónomo de México,5.2E9
Masayoshi Son,"['University of California Berkeley', 'Holy Names University']",1.52E10
Matt Cohler,Yale University,7.0E8
Mike Krieger,Stanford University,1.0E8
