name,ivy_league,education,networth,birthYear
Mortimer Zuckerman,True,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9,1937
Nelson Peltz,True,['Wharton School of the University of Pennsylvania'],1.35E9,1942
Patrick Soon-Shiong,True,"['University of California Los Angeles', 'University of British Columbia', 'University of the Witwatersrand']",1.18E10,1952
Paul Singer (businessman),True,"['University of Rochester', 'Juris Doctor', 'Bachelor of Science', 'Harvard Law School']",2.1E9,1944
Peter B. Lewis,True,['Princeton University'],1.25E9,1933
Peter Buck (restaurateur),True,"['Columbia University', 'Bowdoin College', 'Doctor of Humane Letters']",2.6E9,1930
Peter Livanos,True,['Columbia University'],7.0E9,1958
Peter Lynch,True,"['Boston College', 'Wharton School of the University of Pennsylvania']",3.52E8,1944
Robert Bass,True,"['Stanford University', 'Yale University']",5.5E9,1948
Robert D. Ziff,True,"['Cornell University', 'Harvard University']",5.0E9,1967
Robert J. Fisher,True,"['Princeton University', 'Stanford University']",1.6E9,1954
Robert L. Johnson,True,"['Princeton University', 'University of Illinois at Urbana–Champaign']",5.5E8,1946
Roberto Civita,True,['Wharton School of the University of Pennsylvania'],4.9E9,1936
Ronald Mourad Cohen,True,"['University of Oxford', 'Harvard Business School']",2.2E8,1945
Randy Lerner,True,"['Columbia University', 'Columbia Law School']",1.1E9,1962
Raymond Kwok,True,"['Harvard Business School', 'University of Cambridge']",1.63E10,1952
Richard LeFrak,True,"['Columbia University', 'Amherst College']",6.5E9,1945
Rahul Bajaj,True,['Harvard Business School'],2.7E9,1938
Raj Rajaratnam,True,['Wharton School of the University of Pennsylvania'],1.8E9,1957
Rajat Gupta,True,"['Indian Institute of Technology Delhi', 'Harvard Business School']",1.0E8,1948
Sean Healey,True,"['Harvard College', 'Harvard Law School']",1.0E8,1961
Seth Klarman,True,"['Cornell University', 'Harvard Business School']",1.35E9,1957
Sheryl Sandberg,True,"['Harvard University', 'Master of Business Administration']",1.31E9,1969
Shin Dong-bin,True,"['Columbia University', 'Aoyama Gakuin University']",1.48E9,1955
Sid Bass,True,"['Yale University', 'Stanford Graduate School of Business']",3.0E9,1942
Stephen A. Jarislowsky,True,"['Cornell University', 'Harvard Business School']",1.6E9,1925
Stephen A. Schwarzman,True,"['Yale University', 'Harvard Business School']",9.7E9,1947
Stephen Mandel (hedge fund manager),True,"['Dartmouth College', 'Harvard University']",1.8E9,1956
Steve Ballmer,True,"['Stanford Graduate School of Business', 'Harvard University']",2.4E10,1956
Steve Feinberg,True,['Princeton University'],1.25E9,1960
Steve Wynn,True,['University of Pennsylvania'],2.3E9,1942
Steven A. Cohen,True,['Wharton School of the University of Pennsylvania'],1.2E10,1956
Steven Roth,True,"['Dartmouth College', 'Tuck School of Business']",1.0E9,1941
S. Robson Walton,True,"['Columbia Law School', 'University of Arkansas']",3.21E10,1944
Safra A. Catz,True,"['University of Pennsylvania', 'University of Pennsylvania Law School']",5.25E8,1961
Sanford I. Weill,True,['Cornell University'],1.0E9,1933
Stuart A. Miller,True,"['University of Miami', 'Harvard Business School']",9.0E8,1957
Thomas H. Lee (businessman),True,['Harvard College'],2.0E9,1944
Tom Steyer,True,"['Stanford Graduate School of Business', 'Yale College']",1.6E9,1957
Tony Hsieh,True,['Harvard University'],8.4E8,1973
Tory Burch,True,['University of Pennsylvania'],1.0E9,1966
Ted Turner,True,"['Brown University', 'The McCallie School']",2.2E9,1938
Terrence Pegula,True,['Pennsylvania State University'],4.0E9,1951
Victor Fung,True,"['Massachusetts Institute of Technology', 'Harvard Business School']",2.9E9,1945
Warren Buffett,True,"['Columbia Business School', 'University of Nebraska–Lincoln', 'Economics', 'Master of Science']",6.1E10,1930
