name,education,networth
Mark Pears,"['Harvard Business School', 'City of London School']",2.1E9
Mark Pincus,"['University of Pennsylvania', 'Harvard University']",1.1E9
Mark Stevens (venture capitalist),"['University of Southern California', 'Harvard University']",1.83E9
Mark Zuckerberg,['Harvard University'],4.6E10
Martin Sorrell,"[""Christ's College Cambridge"", ""Haberdashers' Aske's Boys' School"", 'Harvard University']",2.57E8
Matt Cohler,['Yale University'],7.0E8
Mortimer Zuckerman,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9
Nathan Blecharczyk,['Harvard University'],1.9E9
Nelson Peltz,['Wharton School of the University of Pennsylvania'],1.35E9
Patrick Soon-Shiong,"['University of California Los Angeles', 'University of British Columbia', 'University of the Witwatersrand']",1.18E10
Paul Singer (businessman),"['University of Rochester', 'Juris Doctor', 'Bachelor of Science', 'Harvard Law School']",2.1E9
Peter B. Lewis,['Princeton University'],1.25E9
Peter Buck (restaurateur),"['Columbia University', 'Bowdoin College', 'Doctor of Humane Letters']",2.6E9
Peter Livanos,['Columbia University'],7.0E9
Peter Lynch,"['Boston College', 'Wharton School of the University of Pennsylvania']",3.52E8
Phillip Ean Cohen,"['University of Melbourne', 'Harvard Business School']",500.0
Robert Bass,"['Stanford University', 'Yale University']",5.5E9
Robert D. Ziff,"['Cornell University', 'Harvard University']",5.0E9
Robert J. Fisher,"['Princeton University', 'Stanford University']",1.6E9
Robert L. Johnson,"['Princeton University', 'University of Illinois at Urbana–Champaign']",5.5E8
Roberto Civita,['Wharton School of the University of Pennsylvania'],4.9E9
Ron Daniel,"['Wesleyan University', 'Harvard Business School']",50.0
Ronald Mourad Cohen,"['University of Oxford', 'Harvard Business School']",2.2E8
Randy Lerner,"['Columbia University', 'Columbia Law School']",1.1E9
Raymond Kwok,"['Harvard Business School', 'University of Cambridge']",1.63E10
Richard LeFrak,"['Columbia University', 'Amherst College']",6.5E9
Rahul Bajaj,['Harvard Business School'],2.7E9
Raj Rajaratnam,['Wharton School of the University of Pennsylvania'],1.8E9
Rajat Gupta,"['Indian Institute of Technology Delhi', 'Harvard Business School']",1.0E8
Sean Healey,"['Harvard College', 'Harvard Law School']",1.0E8
Seth Klarman,"['Cornell University', 'Harvard Business School']",1.35E9
Sheryl Sandberg,"['Harvard University', 'Master of Business Administration']",1.31E9
Shin Dong-bin,"['Columbia University', 'Aoyama Gakuin University']",1.48E9
Sid Bass,"['Yale University', 'Stanford Graduate School of Business']",3.0E9
Stephen A. Jarislowsky,"['Cornell University', 'Harvard Business School']",1.6E9
Stephen A. Schwarzman,"['Yale University', 'Harvard Business School']",9.7E9
Stephen Mandel (hedge fund manager),"['Dartmouth College', 'Harvard University']",1.8E9
Steve Ballmer,"['Stanford Graduate School of Business', 'Harvard University']",2.4E10
Steve Feinberg,['Princeton University'],1.25E9
